Date,Machine,Power Rating,Working Hours,Temp,Humidity,Production Output,Maintenance,Energy Consumed
2023-01-01,Spinning Machine,23.24,1.99,32.54,68.5,63.18,0,46.25
2023-01-01,Weaving Machine,15.93,1.28,34.6,57.83,76.98,0,20.38
2023-01-01,Dyeing Machine,27.25,2.18,28.24,51.22,28.48,0,59.32
2023-01-01,Cutting Machine,6.08,1.6,29.49,33.64,48.41,0,9.7
2023-01-01,Sewing Machine,4.92,2.77,26.23,59.47,153.5,0,13.64
2023-01-01,HVAC System,34.03,8.25,22.84,56.58,0.0,0,280.76
2023-01-01,Air Compressor,17.77,2.23,23.24,39.94,0.0,0,39.57
2023-01-01,Lighting System,3.67,7.0,29.91,45.19,0.0,0,25.73
2023-01-01,Water Pump,7.91,6.13,22.62,45.46,0.0,0,48.48
2023-01-01,Steam Boiler,41.86,2.06,25.24,35.18,0.0,0,86.35
2023-01-02,Spinning Machine,19.74,10.75,20.54,51.33,405.66,0,212.17
2023-01-02,Weaving Machine,11.94,9.44,24.46,42.62,634.25,0,112.73
2023-01-02,Dyeing Machine,24.12,10.22,32.6,60.9,457.2,0,246.39
2023-01-02,Cutting Machine,9.19,11.1,26.25,36.09,389.46,0,102.06
2023-01-02,Sewing Machine,5.85,8.51,34.37,55.08,82.98,0,49.8
2023-01-02,HVAC System,34.91,9.04,25.48,33.65,0.0,0,315.69
2023-01-02,Air Compressor,16.0,6.52,23.34,38.91,0.0,1,125.19
2023-01-02,Lighting System,3.92,13.45,32.87,61.94,0.0,0,52.71
2023-01-02,Water Pump,11.55,5.77,28.7,57.44,0.0,0,66.7
2023-01-02,Steam Boiler,38.16,9.1,21.27,49.19,0.0,1,416.84
2023-01-03,Spinning Machine,24.96,11.53,27.17,31.23,810.04,0,287.84
2023-01-03,Weaving Machine,19.87,11.22,31.33,60.38,571.99,0,222.89
2023-01-03,Dyeing Machine,21.37,10.88,21.62,35.38,233.82,0,232.38
2023-01-03,Cutting Machine,10.75,9.06,27.25,32.61,406.12,0,97.36
2023-01-03,Sewing Machine,3.23,8.91,25.81,61.7,249.51,0,28.82
2023-01-03,HVAC System,26.53,8.08,22.25,60.41,0.0,0,214.2
2023-01-03,Air Compressor,16.94,9.2,32.52,45.33,0.0,0,155.72
2023-01-03,Lighting System,5.5,12.84,25.26,55.95,0.0,0,70.57
2023-01-03,Water Pump,9.14,6.16,33.56,58.72,0.0,0,56.28
2023-01-03,Steam Boiler,40.76,9.38,24.22,52.89,0.0,0,382.44
2023-01-04,Spinning Machine,18.77,9.04,23.65,44.21,514.48,0,169.63
2023-01-04,Weaving Machine,17.17,8.15,27.42,44.09,120.14,0,139.84
2023-01-04,Dyeing Machine,21.02,11.93,30.55,53.18,739.94,0,250.86
2023-01-04,Cutting Machine,8.86,8.77,31.81,36.69,253.51,0,77.72
2023-01-04,Sewing Machine,3.08,9.52,29.21,69.42,617.34,0,29.36
2023-01-04,HVAC System,28.43,11.26,32.87,30.33,0.0,0,320.1
2023-01-04,Air Compressor,9.74,9.58,33.3,32.07,0.0,0,93.25
2023-01-04,Lighting System,5.91,10.63,24.65,53.65,0.0,0,62.86
2023-01-04,Water Pump,9.65,4.79,21.34,60.6,0.0,0,46.2
2023-01-04,Steam Boiler,39.65,10.13,20.69,45.85,0.0,1,482.17
2023-01-05,Spinning Machine,21.67,9.7,28.74,51.3,432.52,0,210.19
2023-01-05,Weaving Machine,13.83,10.68,27.06,65.02,246.53,0,147.71
2023-01-05,Dyeing Machine,20.57,8.17,24.86,34.06,576.61,0,168.07
2023-01-05,Cutting Machine,9.03,11.15,21.95,44.54,439.53,0,100.67
2023-01-05,Sewing Machine,5.09,10.8,23.33,60.92,120.55,0,54.94
2023-01-05,HVAC System,26.93,10.04,28.81,55.94,0.0,0,270.47
2023-01-05,Air Compressor,13.78,8.78,33.52,30.25,0.0,1,145.15
2023-01-05,Lighting System,4.45,12.61,30.92,66.98,0.0,0,56.08
2023-01-05,Water Pump,11.13,4.86,26.39,65.96,0.0,0,54.12
2023-01-05,Steam Boiler,42.25,11.68,20.62,50.15,0.0,0,493.64
2023-01-06,Spinning Machine,20.73,11.99,26.02,66.37,426.71,0,248.56
2023-01-06,Weaving Machine,18.25,9.64,29.48,41.08,748.27,0,176.0
2023-01-06,Dyeing Machine,21.6,10.43,24.9,43.91,106.88,0,225.23
2023-01-06,Cutting Machine,10.09,10.3,26.72,41.37,156.19,0,103.87
2023-01-06,Sewing Machine,8.41,11.78,32.23,44.01,277.72,0,99.03
2023-01-06,HVAC System,28.88,11.49,33.62,30.82,0.0,0,331.71
2023-01-06,Air Compressor,13.29,8.23,24.43,50.42,0.0,0,109.31
2023-01-06,Lighting System,6.06,10.54,30.25,38.34,0.0,1,76.62
2023-01-06,Water Pump,7.75,4.96,27.5,66.07,0.0,0,38.45
2023-01-06,Steam Boiler,35.99,9.76,34.07,54.41,0.0,0,351.04
2023-01-07,Spinning Machine,19.59,3.06,27.24,34.94,229.43,0,59.86
2023-01-07,Weaving Machine,13.45,3.56,21.99,52.72,110.69,0,47.89
2023-01-07,Dyeing Machine,25.89,2.67,23.57,37.03,173.58,0,69.04
2023-01-07,Cutting Machine,12.61,1.51,23.78,58.81,29.85,0,19.06
2023-01-07,Sewing Machine,6.47,1.92,31.7,46.54,69.63,0,12.39
2023-01-07,HVAC System,28.0,8.7,24.35,61.24,0.0,0,243.67
2023-01-07,Air Compressor,20.56,3.33,29.1,68.11,0.0,0,68.4
2023-01-07,Lighting System,3.02,5.63,30.04,34.07,0.0,0,16.99
2023-01-07,Water Pump,5.41,5.86,26.79,53.96,0.0,0,31.74
